【第一段】

191(00:00:41): 这里现在好了。继续说。感觉这些都有点废话。现在。
191(00:06:35): 感谢max的分享！我们继续？继续看后面的。这可是。营养元素。

191(00:07:16): 那我继续慢慢病防治的食物比例原则。我眼熟是不是有？按病防治的食物比例原则是指通过合理搭配食物中的各种营养成分来达到预防和治疗慢性疾病的目的。具体而言，食物种类丰富很重要，但仅仅丰富并不足以达到营养丰富的目的，还需要注重营养密度和结构性营养素的比例。也就是说，我们需要确保食物中提供能量的碳水化合物提供。结构和细胞修复的蛋白质和脂肪等营养成分都得到合理均衡的摄入。以土豆炖牛肉为例，虽然肉类和蔬菜的比例达到了夏老师的建议，但是如果我们仔细分析其中的营养成分，就会发现，这份菜肴的营养并不均衡，例如粉条，土豆，红薯和山药主要含有同一种营养素。

191(00:08:19): 碳水化合物如果我们能再加入一些富含蛋白质和脂肪的食物，如鱼，鸡肉或者坚果，那么这份菜肴的营养结构就会更加合理。在食物搭配方面。我们还需要理解碳水化合物脂肪和蛋白质之间的相互转化关系。碳水化合物脂肪和蛋白质之间是。可以转化的，并不能完全转化，有些营养素必须从外界摄取，也就是必须氨基酸。必须按计算有哪些？必须按计算。几钠氨酸等丙氨酸。他们都在哪里？哪些东西里面含有？

*(00:10:07): 找到了它这里蛋白质分为必需氨基酸和非必需氨基酸。

191(00:10:17): 必需氨基酸是要从哪些食物中获取，好像也说了？

虎鲨(00:10:24): 我找到必需氨基酸是从蛋白质中获取的，然后非必需氨基酸是碳水和什么东西能合成的，就是蛋白质必须吃其他东西可不吃。然后还有。还有就是氨基酸结构好像是没找着我，记得一点就是氨基酸结构越接近人体的就越容易被利用。鱼类的什么东西的结构最接近，所以说鱼类最好从脂肪的。从脂肪的质量上来说。那是脂肪蛋白质来着？

*(00:11:06): 蛋白质就比如黄豆蛋白质很高，但是不好吸收，但是牛肉的蛋白质是跟人体的氨基酸比较吻合的，所以好吸收。

191(00:11:23): 那差不多了。继续往下。

191(00:11:31): 在食物的摄取上，我们应该先保证碳水化合物的摄入，才是脂肪和蛋白质。人在饥饿时，碳水化合物的消耗量最大，其次是脂肪。蛋白质的消耗量最小。对于现代人来说，最佳的食物选择是低能量密度高营养密度的食物。能量密度指的是食物单位体积中所含的提供给细胞的能量。营养素有多少，而营养密度指的是单位体积中所含的营养素有多少？

191(00:12:17): 七大营养素平衡的重要性体现在它对我们的身体健康起着关键性的作用。七大营养素包括碳水化合物，蛋白质之类，维生素，矿物质，膳食纤维和水。以地中海饮食以地中海是饮食为例。这种饮食方式因其对健康的益处。被很多国家视为健康饮食的示范地。中海是饮食，强调食用水果，蔬菜全谷物，豆类，坚果和橄榄油，少吃红肉和糖适量食用鱼类和奶制品。

191(00:12:55): 在我们的日常生活中，如何实现其他营养素平衡，其实很简单，只要了解每种营养素的来源和作用，就可以制定出一份富含必需营养素的饮食计划。我们可以选择全谷物作为主要的碳水化合物来源。瘦肉和鱼作为主要的蛋白质来源，橄榄油和坚果作为主要的汁类来源，水果和蔬菜作为主要的。维生素和矿物质来源，同时确保每天摄入足够的水分。

191(00:13:28): 在食物互换方面，也可以通过多样化的饮食选择来实现营养平衡。例如，在早餐时可以选择包子烙饼。这里还是要多吃红肉，中国人吃红肉不多。红肉又是说的哪几种肉来着，牛肉猪肉。羊肉算红肉吗？

*(00:13:51): 对是。

191(00:13:55): 鸡肉，鸡肉是白肉吗？

*(00:13:57): 对就要吃白肉。

191(00:14:00): 鱼肉也是白肉好的多吃牛羊猪。例如，在早餐时，我们可以选择包子，烙饼，油饼等代替馒头。在午餐时，我们可以在各种肉类，鸡蛋，鱼中选择在晚餐时，我们可以选择清蒸鱼清蒸虾等代替油炸食品。通过这种食物互换的方式。可以在不增加太多熟量的情况下，保证摄入各种必需营养素。

191(00:14:38): 能量平衡与健康评估主要讲述的是如何控通过控制能量摄入和消耗来保持身体健康。或者理解能量平衡，我们需要了解能量摄入和能量消耗的关系。当能量摄入大于消耗时多余的能量会在体内储存起来，引发肥胖。相反身体就会消瘦，并且抵抗力下降。能量消耗主要来源于三个方面，基础代谢，环境因素和身体活动。基础代谢指的是在非常安静的环境，在清醒的状态下排除其他影响因素。一个人身体的代谢率，环境因素和身体活动都会影响能量的消耗。

191(00:15:26): 能量的摄入主要来源于四种途径，碳水化合物，蛋白质之类和酒精怎么还有个酒精？

虎鲨(00:15:43): 酒精是第四个能量来源就是什么，一克酒精能等于多少什么，就它好像是一种碳水，算是找一下。

191(00:16:02): 酒精好像是crh5，如果没记错的话，然后这个化学式跟碳水化合物正好是都有碳氢氧。可以理解。其中，碳水化合物，蛋白质和脂类被称为产能营养素，因为它们可以为我们的身体提供能量失衡通常表现为体重正常，但是体脂过高，这通常是因为摄入的能量与消耗的能量不匹配。导致某种或某些必需营养素的缺乏。为了保持能量平衡，我们需要按照一定的规则来计算和摄入能量，这需要考虑我们的身高，体重，活动量以及三大产能营养素之间的比例。这些参数可以帮助我们决定每日摄入多少能量，以及如何合理分配这些能量在碳水化合物，蛋白质和脂类之间。

191(00:17:00): 蛋白质的消耗和摄入涉及到我们每天所需营养的合理搭配，以及如何在饮食中获取和补充必要的蛋白质是我们身体的重要成分，参与人体的生长发育，生殖免疫等。多种重要功能！摄入优质蛋白是我们日常生活中的必要工作。以一位运动量较大的患者为例。虽然它的生活方式看起来非常健康，但经过计算，它的蛋白质数量远远低于标准。每天摄入的优质蛋白只有16克。按照它的身高和运动量每天需要摄入94.5克的优质蛋白，其中的一半是动物蛋白。这一块它提到了很复杂的计算方法。

191(00:18:01): 这里提到了必须氨基酸，只能通过食物获取如肉类，禽类，鱼类，蛋类，乳制品和豆类。食物消化过程中也会消耗能量，其中蛋白质的动力效应最大。这意味着我们吃进去的蛋白质中有30%会被消耗掉，用于消化，而不是被身体吸收。因此也需要注意蛋白质的摄入量，避免摄入过多而造成浪费。

191(00:18:39): 之类的消耗与功能。脂肪主要有三大功能，首先为人体供给热量。当我们摄入的碳水化合物不够时，身体才会开始分解脂肪来供能。其次，脂肪能为人体提供必需的脂肪酸。这是我们身体无法自己合成的。最后脂肪还能保护我们的内脏。

191(00:19:07): 现在看说的大体内容。55是谁。有什么想说的笔记。一些想法都可以随时说。主要是为了不冷场，现在这儿读。脂肪和类酯在人体内的消耗方式并不完全相同。脂肪在碳水化合物不足是分解用于提供能量，而类脂则主要用于构建细胞膜摄入的类脂类过多，可能导致肥胖，反之则可能导致消瘦。都是一些常识。细节性的东西这里都没有。一会再看一下。共享的PDF脂类碳水化合物和蛋白质是人体主要的能量来源，三者比例很重要。此外，之类的摄取不仅要保证数量，还要注意比例，如单不饱和脂肪酸和多不饱和脂肪酸的比例应该更高。因此，鱼虾，海藻等食物应该多吃一些对于运动量大，能量消耗多的人。

191(00:20:43): 食物选择与加工对健康的影响。以面粉的制作为例，当小麦从田间收获后，会经过多道精细加工程序，包括去壳水洗，浸泡风选等。这些过程会导致小麦中的大量维生素，矿物质和膳食纤维大量流失，使得最终得到的白面仅剩下碳水化物和少量植物。而其他营养物质所剩无几。精米精面里面含有的营养素是比全国的食物要少。此外，水果中也富含对人体有益的营养素，如维C维E胡萝卜素B族维生素，钾和镁等。这些维生素和矿物质具有很好的抗氧化作用，能帮助我们的身体对抗自由基，保持健康状态。然而。如果将水果加热使用，煮熟或做成果汁，会导致其中的水溶性维生素，如维生素C大量流失。同时，食物添加剂在加工食品中的过度使用也是一个严重的问题，如增鲜剂色素，人工香料和防腐剂等，往往含有对人体有害的化学物质。长期使用会增加肝脏的解毒负担。导致肝脏损伤。

191(00:22:09): 饮食结构的重要性与五大类食物饮食结构指的是人们在进食时食物种类与数量的组合方式，而五大类食物分别是粮食类，动物类蔬菜类，水果类和油脂类。

191(00:22:38): 饮食与地域环境的是指在不同的地理环境和气候条件下，人们的饮食方式需要做出相应的调整，以更好的适应自然环境，保证身体健康。举个例子，人们在处在南方的湿热潮湿环境下，适合多吃一些鱼和鸭等偏寒的食物。相反，在北方这样寒冷干燥的环境下较多吃一些羊肉和牛肉等，能够提供足够能量的食物。不仅是大的地理环境，还需要考虑到小的环境因素对个人饮食习惯的影响，例如在汽车里或办公室使用空调可能会导致人们出现空调病。这时候应该调整饮食来增强自己的抵抗力。

191(00:23:26): 气候环境也和饮食环境息息相关。比如四川，湖南，湖北，贵州这样的气候湿冷地区适合多吃一些辣椒来驱寒祛湿养脾健胃。而在山东，江苏北部东北平原这样气候干燥的地方。如果过度食用辣椒的会带来火上浇油的反效果。

191(00:23:49): 地域饮食和人的身体健康也是紧密联系的一种食物，对于某些地区的人可能是养生佳品，但是对另一些人可能会带来身体不适。要考虑地域特色。另外，人们的饮食偏好和身体反应也会受到基因和肠道菌群的影响，我们到一个新的环境中，使新的环境可能会改变我们体内的微生物环境。我们需要一段时间来适应并调整这些菌群，使其与新的环境相适应。

191(00:24:58): 这里是讲的。在生长发育期的营养摄入的需求。

191(00:25:18): 不知道现在多吃点灵芝还有没有用？

*(00:25:25): 什么长高了？

191(00:25:27): 对。

*(00:25:32): 25岁之前都还是有用的，不记得之前在哪里看的？

191(00:25:39): 还有一层。开始看这些各种组织上皮组织结缔组织，肌肉组织和神经组织各自的分类和功能。上皮组织是身体的第一道保护屏障。上皮组织的面积非常大，细胞之间通过胶原蛋白紧密连接，形成致密的屏障，保护我们的身体免受外界侵害。当人体受的胶原蛋白不足，使细胞间的缝隙会增大，使上皮细胞的保护功能减弱，导致血液渗透出血液渗透，形成皮下出血。

191(00:26:34): 此外，上皮细胞由于位于人体的最表面会暴露各种不良刺激的威胁之下，如果修复机制出现问题，上皮细胞的屏障作用将会降低，导致人体更容易感染各种疾病，轻则慢慢性炎症。重则肿瘤根据上皮细胞的不同类型可以了解各种疾病的引发原因和调理方法。以上皮细胞的生长分化为例。维生素a对维持上皮细胞的正常生长和分化起到了重要作用，还能防止多种上皮细胞功能减退和抑制肿瘤的发生。

191(00:27:08): 维生素a的摄取量非常重要。建议摄取量是700微克至八百微克。根据营养调查显示，中国人普遍存在维生素a缺乏现象及食用。即使食用大量萝卜，胡萝卜等含维生素a的食物，如果缺乏油脂，对运输媒介也难以充分吸收。

191(00:27:38): 要逼自己吃胡萝卜？结缔组织的组成和功能。结缔组织细胞是结缔组织的基本组成单位。结缔组织存在于人体各个什么？直接吃维生素行不行，不爱萝卜，这是一种所谓。好像也提到了钙片和。

Max(00:28:09): VA好像吃肝脏也行。肝脏鸡蛋和西兰花。

191(00:28:23): Ok这些是可以接受的。然后机制是结缔组织的粘合剂。不要挑食。它是一种无定型的胶就不煮了。肌肉组织的分类和功能分三个部分骨骼肌平滑肌和心肌骨骼肌位于四肢平滑肌是在胃肠道。在食物的消化和吸收中有重要作用，心肌仅仅存在于心脏，负责心脏的跳动和血液的泵出。肌肉组织的正常工作离不开钙元素，钙离子被称为兴奋收缩偶连因子，它将神经信号与肌肉收缩耦合起来。神经细胞电活动后，钙离子进入细胞质，使细胞质内突然变成高钙环境，从而促使肌肉收缩。

191(00:29:34): 对于肌肉组织来说，蛋白质和铁同样至关重要。蛋白质是构成精细胞的基础，而铁则是肌肉进行有氧呼吸时必须的元素。蛋白质和铁元素摄取不足会导致运动能力下降，甚至影响身体健康，不爱动弹的。考虑一下是不是蛋白质和铁，缺乏神经组织的结构和功能。神经组织是。最复杂的一种广泛存在于人体内，包括满满哪都是神经元，是核心成分。信息传递是通过突触。带状疱疹就是由周围神经损伤引起的，而神经损伤的一个原因可能是神经细胞轴突外面的髓鞘损伤一直没有修复。

191(00:30:31): 神经递质。抑郁歧视与一种神经递质及五羟色胺的缺乏有很大关联。此外，髓鞘是神经细胞轴突的外溢源层。对于神经信号的快速的。

虎鲨(00:31:03): 我勾画了一点，具体的分享一下。

191(00:31:08): 好。

虎鲨(00:31:09): 找一下我直接读吧，因为就是书里边的内容，摘抄的膳食纤维的四大功能，说起来可溶性膳食纤维。的存在于叶菜，菇菜等中，它的主要作用是有益肠道菌群不可溶性膳食纤维是存在于粗粮中等。它这个等里边其实包括很多内容，但是我就只记这么一两个，然后就我觉得就够了，然后它的作用是通便稳定血糖。然后是午饭？

虎鲨(00:31:48): 午饭中午的三种成分成了三足鼎立的状态。蔬菜占二分之一，蛋白质占四分之一，粮食占四分之一。吃蔬菜是每天500克多吃深色蔬菜是多种类的。是生一些的吃全猪，然后带皮吃。

虎鲨(00:32:23): 还有一个蛋白质的动力销量最大约为30%碳水和脂肪的动力效应较低，基本在5%左右，动力效应是一个。

虎鲨(00:32:51): 还有一段关于灵芝的磷脂，不仅对活化细胞维持细胞新陈代谢基础代谢及荷尔蒙均衡分泌有重大作用，而且在增强人体免疫力和细胞的再生方面也十分关键，在调节血脂，保持血管畅通方面，更是扮演重要角色。

虎鲨(00:33:09): 人体神经细胞和大脑细胞结构中，大约有一半是磷脂。人质的质量和数量决定了大脑细胞间信息传递速度，因此具有增强记忆力，预防老年痴呆的功能。

虎鲨(00:33:33): 维生素D在预防癌症中有重要作用。

虎鲨(00:33:41): 一个谣言吃小葱拌豆腐会得肾结石，这个是错误的，豆腐中的钙与草酸会在胃肠道内里结合之后从肠道排出。但吸收虽然少了，但是也减少了得肾结石的机会。好像是在补钙的那块儿。讲到的就是可以吃小葱拌豆腐来补钙，如果不确定是否缺钙的话。缺就会补上不缺的话也不会得肾结石。

虎鲨(00:34:08): 五星首选牡蛎。先有促进生长发育和组织再生。伤口愈合等功能，可以促进食欲。促进胰岛素正常分泌。

*(00:34:34): 肾结石如果你吃蔬菜的话就是对然后喝牛奶也可以预防这些，因为它跟蔬菜中会结合，反而会。减少及时生成。

虎鲨(00:34:59): 维生素补充剂最好从食物中提取天然维生素化学合成的维生素，不要长期摄入，就是我想问一下那个小白皮的那种。维生素是天然的还是合成的？

*(00:35:15): 也是合成的。

Max(00:35:23): 我也感觉是合成的，它不然它卖那么便宜。

*(00:35:28): 然后它含配料表里面其实也有一些添加剂。

虎鲨(00:35:28): 我感觉很少！

*(00:35:36): 所以不能长期一直吃对含量会比较少，就是反正按它的那个按规格去吃，没有大问题，但不要一直吃和长期吃。

虎鲨(00:35:52): 确实。大多数都是合成的。小白瓶的大多数都是合成的。我刚才想到没什么用的。也不算是知识点吧。因为我知道。刚才好像提到卵磷脂来着吧？然后我就想起来猫可以吃鸡蛋黄，但是好像没说过给猫吃鸡蛋吃，然后我就查了一下，是因为鸡蛋清的？什么蛋白质结构跟猫的不一样，就是它消化不了，就是跟人吃植物蛋白什么氨基酸解构还是啥的？一个道理。结构跟自身不一样，不好消化，不好吸收。

虎鲨(00:37:09): 我觉得那些什么卖的那些贵的维生素，它宣传的时候它是天然的，不让买那个小白皮的。那个小白皮是合成的还是啥的不好什么的。有的提取出来的，从食物中提取出来的，就算是天然的。

*(00:37:47): 我感觉作者在这里说要吃天然的就是希望你从食物里去获取吧，虽然他简单的提了一下那个叫什么来着。就是补充的那种药品。但天然维生素有的它有的是因为不含任何其他添加剂的，但合成的基本上都会有。

虎鲨(00:38:17): 我想起来它里边有一句什么要少上药店多下厨房。我还想到一个就是补充矿物质的话，不要用那个补剂什么的，补那个东西，过量的话有害，但是维生素没事，维生素基本上就是。

*(00:38:25): 那他就。

虎鲨(00:38:40): 都是很缺的。水溶性的可以多吃一点，因为一泡尿也就出去了，脂溶性的。别吃多。

*(00:38:52): 对。

虎鲨(00:39:06): 没了没了我没有分享的了。

191(00:39:11): Ok那看看共读里面的批注，前面都是一些知识科普，我觉得可能除了看这本书，突然看一下，也记不住啥的。

Max(00:39:26): 等一下。

191(00:39:26): 蛋白尿啥的？

Max(00:39:29): 我这边还有我这，我根据我自己的那一些情况，然后我自己给自己备注的就是眼睛干燥的话就补维a的话就是动物干燥，奶油和鸡蛋。上火记忆力下降，消化不良口腔溃疡，补维B还是吃动物肝脏好多等等。

虎鲨(00:39:58): 有没有动物肝脏替代品？

Max(00:40:01): 我来看一下。我感觉他。

虎鲨(00:40:04): 动物肝脏还有鱼，感觉这俩都不太好找替代品，我不爱吃。

Max(00:40:13): 还挺多的，好多都是要吃东。

虎鲨(00:40:15): 感觉他们好像营养价值很高。对出现好多次。羊杂面也是羊杂吧，就是养的内脏什么的？

Max(00:40:27): 我感觉可以。然后我感觉，如果你一天之内他那个翻摊都基本上是在那种公司固定什么的，基本上只要。多吃鸡蛋和牛奶，鸡蛋差不多两天一个两两两个一天。牛奶差不多300毫升。鸡蛋含维a维D蛋白质和卵磷脂，但是我这边有一个问题，就是说他这本书里面提到。卵磷脂怕高温高于50度就丧失其功能。那我们吃的水煮蛋和什么蛋，那它基本上都是超过。50度了。

虎鲨(00:41:11): 我想起来他提到可以吃糖心蛋。

Max(00:41:14): 我感觉国内这种检疫还没有特别严格的情况之下他吃。

虎鲨(00:41:24): 有沙门氏菌？

Max(00:41:26): 我觉得不太卫生！

虎鲨(00:41:29): 我也觉得我主要是接受不了那个感觉。我没看着知识点，我查一下。

Max(00:41:33): 良心我感觉。行。

虎鲨(00:41:38): 本灵芝。

Max(00:41:51): 对我一定，我也记了，我一定通补钙。喝牛奶晒太阳吃鸡蛋动物肝脏，牛奶三文鱼。免疫功能跟和免疫功能相关的就是补铁，补锌。基本上还是吃红肉吃鱼。还有血制品？

虎鲨(00:42:30): 我想起来一个不知道是不是这书里的知识点就是如何判断自己那个免疫功能如何怎么样。常患呼吸道疾病，或者说泌尿什么尿尿路感染这类疾病的话，说明免疫系统已经就状态不太行需要。

虎鲨(00:43:18): 我想起来土豆皮可以补钾。不吃香蕉，是一个富含钾的食物，如果不吃香蕉的话，可以吃土豆皮儿。土豆带皮吃。不行就土豆皮土豆芽好像没有，因为我查的时候就单说了土豆皮。我觉得就很没什么就很顺利就吃了。

Max(00:43:51): 还是吃香蕉，如果光吃土豆皮，不吃土豆有点奇怪。

虎鲨(00:44:00): 可以把土豆皮削下来，然后土豆冻起来，下次吃我查一下。把蔬菜冻起来，我这勾了一点。青豆冷藏一周后维C含量减少77%细菌大量滋生亚硝酸盐含量明显增加。然后为啥蔬菜可以用蔬菜快速冷冻，长期保持负180度？

虎鲨(00:44:31): 零下18度左右的低温实验证明，冷冻蔬菜与新鲜蔬菜营养价值差不多。然后啥可以动啥不可以动白菜受冻以后，亚硝酸盐和硝酸盐含量明显上升，还有一些叶子菜，比如小白菜。小麦菜小是草字头一个性命攸关的忧的小麦菜。谢兰又卖。

虎鲨(00:45:03): 油麦竟然是这个油油麦菜，芥蓝灯也不适合冷冻保存。通常很多绿叶蔬菜都不适合冷冻，而糖分多，表面就应较厚实的蔬菜。比如豌豆，豆角，青椒等蔬菜比较适合冷冻。就是这俩字。这叫什么？

191(00:45:24): 是有我记得有油麦面来着。

虎鲨(00:45:27): 跟平时说的油麦菜是一个吗？难道平时的？

191(00:45:37): 这是油门。还有没有油？

Max(00:46:12): 三点水的油麦菜和草字头的油麦菜是一种菜？

虎鲨(00:46:17): 不是我查了，不是同一种有卖菜三点水的，又称为啥牛力生菜香水生菜等，属于菊科蜗居。

191(00:46:43): 确实长得不一样。油麦像是一种粮食作物。

虎鲨(00:47:00): 好像内蒙什么的，是不是有这个什么油麦油油麦窝窝还是啥的那种东西？

虎鲨(00:47:12): 看着好像有点像燕麦，还挺好吃的感觉。

191(00:47:37): 燕麦就是油麦。

虎鲨(00:47:40): 竟然。

Max(00:47:44): 我也刷到了油麦，属于裸燕麦，是燕麦的一种。

191(00:47:49): 原来是一个东西。

虎鲨(00:48:02): 最近好像有一个吸是吸麦吗？就是查出来不合格卫生标准不合格好像是。卖燕麦片的？

191(00:48:17): 荞麦也不错。是不是有荞麦枕头？看看女友的批注，容易伤害大脑的行为不良的生活习惯，嗜睡，不吃早餐，爱吃甜食等。刀刀中枪生活习惯不利于大脑健康，对不愿动脑和过度用脑带病用脑过度用脑，所以生病的时候不要学习是吗？

191(00:48:55): Who do you know不愿意动脑都会导致大脑损伤。

*(00:48:58): 该休息就休息。

虎鲨(00:49:05): 八天前我看看八天前是啥时候，今晚一定早睡，我看看八点九点了。

191(00:49:05): 11月一。晚上晚上灵感比较充足。所以不太舍得睡。

虎鲨(00:49:22): 为了你的大脑。

191(00:49:28): 为了以后也有灵感。

191(00:49:34): 那是什么。

虎鲨(00:49:34): 我还想到一个。我想到。

*(00:49:35): 你如果早睡，然后再早起，你的灵感可能就在早上。

虎鲨(00:49:41): 但是早上起不来。我就是有的时候能早睡，但是早上他那个生物钟就是已经形成了，早上起来就对一天一天都觉得对不起自己。

191(00:49:50): 一天没精神。

*(00:49:50): 因为还没有睡够是。

虎鲨(00:49:59): 我想到一个低血糖，千万不要低血糖一次会死很多脑细胞。对。

*(00:50:12): 对早饭很重要。

虎鲨(00:50:15): 对就是在内分泌这方面一定要多注意我是可能是因为熬夜吧！就是翻过几次低血糖。

191(00:50:35): 每天必须吃早饭，我记得有看过一个研究，不知道正不正经，反正他说只要在早上起来之后的11个小时左右吃上早饭就行。

虎鲨(00:50:49): 我想起来我看过的早上730之前不要起床。

191(00:50:55): 清楚。

*(00:50:57): 我怎么不信？那是因为睡眠比较晚的人吧！你对那对。

191(00:51:14): 晚睡早起还起来用粗皮？

*(00:51:20): 他本身就睡得早。

191(00:51:26): 730确实挺已经很早了。

虎鲨(00:51:30): 这已经很早了。

虎鲨(00:51:43): 这个好像也有调查，就是苹果的闹钟，对那个东西它是对心脏确实是有刺激性。

Max(00:51:54): 我每次起来我都要心脏好像被电击了一下那种感觉。

虎鲨(00:52:06): 我现在不知道为啥。

*(00:52:07): 就如果睡得早，第二天可能会自己早醒就不用那个东西看情况，养成习惯了之后就不用了。

虎鲨(00:52:13): 分享一个小窍门。有的时候我晚上如果第二天早上真的必须早起的话，晚上就早睡一会，然后睡着之前就是你躺到床上你就心里坚定的想几遍就是我明天早上一定要在几点起来。

Max(00:52:38): 暗示的。

*(00:52:40): 有过研究？

【第二段】

191(00:01:09): 看看也需要发在群里的。炸薯片，炸薯条。

Max(00:01:18): 鸡蛋土豆泥我之前做过。

虎鲨(00:01:20): 原来我无意中已经吃的很健康了，就是因为懒，然后就弄得很简单，结果是非常营养，非常保留原始的吃法。

Max(00:01:33): 它不太好吃，那个土豆泥它如果不放那种美乃滋什么千岛酱的话，它不加酱它不好吃，但是那个酱它又是什么？饱饱和脂肪吗？反正那个好东西。

虎鲨(00:01:48): 好像是我觉得就是土豆，它直接弄它那个土豆味儿就挺好吃的，可以加点辣酱，土豆直接削皮儿，然后切成那种厚厚的片儿。

191(00:02:06): 没那么吃过。

虎鲨(00:02:09): 我之前去哪儿就是好像是草原什么的那个地方它可以它有这么吃的就直接烤，但是烤的话有点麻烦，就直接蒸什么的，或者用一点儿油煎也挺好的。

191(00:02:14): 加点黑布丁也行。

191(00:02:28): 从来没吃过土豆配鸡蛋。

*(00:02:28): 真主。行。

Max(00:02:31): 可能是我这边的土豆不是很好吃。

*(00:02:36): 我的咸蛋黄土豆丝好吃。

虎鲨(00:02:36): 我高中。

*(00:02:43): 新东方土豆丝。

虎鲨(00:02:52): 一起炒。我有一个问题，为啥就是我，让AI给我生成的什么地中海食谱，它好多都是考考什么东西，考什么东西？烤烹饪方法是健康吗？还是咋的？

*(00:03:16): 考比较贴近原始的方式吧，就直接拿活。它的加工是比较少的。那个书里不是有提到你，你加工越多，他其实就会破坏的越严重，和它的糖分会更高吧？

Max(00:03:30): 或者。对有提到说是烹饪的时间越少，程序越少。就越健康。

*(00:03:47): 对。

虎鲨(00:03:50): 原来考是一种简单的手法我总感觉考的话它时间会比较长。可能。

191(00:03:58): 高考。

*(00:04:01): 是烧烤。我们现在空气炸锅或者烤箱的话是比较慢的。直接拿火烤的话才是比较快的。

191(00:04:12): 改天去吃烧烤？

虎鲨(00:04:21): 好像不太对我看看。

191(00:04:40): 复议。

虎鲨(00:04:47): 对。

191(00:04:51): 但是也不一定感觉可能就因地制宜合适的地方就发展成农耕，然后不适合种植的地方就会去游牧什么的。

虎鲨(00:04:54): 没了。

虎鲨(00:05:10): 我不知道他这个这块说的权威性就是到底是真的还是加的就是他说这个从定居生活开始，然后人类大脑增容和体质增强，戛然而止这个。定居生活不？看这对。

191(00:05:32): 就开始自己种植的东西。

虎鲨(00:05:41): 一个人在地方在某个地方待久了，然后会形成。

191(00:06:06): 感觉有很多种因素都会影响他。

虎鲨(00:06:12): 好多问题只要把点子给灭了，其他的都慢慢的可能会自己就是用户了，这些问题。

191(00:06:24): 小豆。统一。

虎鲨(00:06:36): 我有一个问题，作者夏萌他是我查一下她是女的吗？

191(00:06:46): 是是。

虎鲨(00:06:48): 天，他里边有好多举例子都是拿点子剧真的很无语！

*(00:07:03): 换个角度，他们容易得病。

虎鲨(00:07:07): 确实。

Max(00:07:27): 他举的很多例子，我感觉他举的例子好像不是特别的全面，因为他大部分的例子都是这个人，人怎么怎么样，反正他就是只吃菜，他不喜欢吃肉，不喜欢吃蛋。

虎鲨(00:07:51): 是因为是因为只吃肉而不吃菜的人比较少吧？

*(00:07:58): 是不是在第二本里面，我怎么记得他也举过一些？

Max(00:08:03): 第二本我没仔细看，因为我感觉还没还没算得上。

*(00:08:08): 他好像有提过一些饮食习惯你任何一个东西只单独只吃一个东西都会有问题的。就是什么都要吃，什么都要不能吃多。

虎鲨(00:08:26): 拿刀尝尝。

